145.0
3 / 4
Note/Rest,Octave,Len,Offset
G,5,2.625,0.0
C,5,0.25,8.625
F,2,1.875,9.0
C,3,0.125,11.625
D,4,1.0,12.0
E,4,0.125,13.0
F,4,0.75,14.0
E,2,0.125,14.875
E,4,0.125,15.0
G,5,0.375,15.625
D,4,1.0,16.0
G,5,0.125,17.125
C,6,0.125,17.5
E,6,0.25,17.75
G,6,0.75,18.125
E,6,0.125,19.0
C,6,0.625,19.6666666667
G,3,0.125,20.75
G,3,2.125,21.125
F,4,1.25,24.0
D,5,0.125,26.375
E,5,0.25,26.6666666667
F,5,0.375,27.0
D,5,0.25,29.6666666667
G,5,0.25,36.0
E-,4,0.25,36.5
D,4,0.375,37.0
C#,4,0.333333333333,37.5
E,5,0.25,37.875
F,4,0.125,45.25
C#,4,0.625,45.625
E,4,1.125,48.0
E-,4,1.375,51.0
C,2,1.375,54.0
G,5,1.25,58.75
D,5,0.625,60.125
E,5,0.125,60.75
F,5,0.875,61.0
E,5,0.625,62.0
D,5,0.125,62.6666666667
G,3,2.33333333333,66.0
B,4,0.25,68.6666666667
G,3,2.375,69.0
D,6,0.125,71.625
D,3,2.5,71.875
E,4,0.5,76.0
B,3,0.333333333333,76.875
B,3,0.125,77.5
F#,4,0.333333333333,84.625
E,4,0.333333333333,85.625
G,3,0.375,87.0
G,2,2.125,88.0
G,2,4.0,90.6666666667
D,3,2.0,95.5
D,5,0.5,98.0
G,2,0.125,98.875
G,5,1.25,102.0
C,5,0.375,103.666666667
C#,5,0.5,104.375
F,4,1.0,105.125
C,6,0.375,106.375
C#,6,0.333333333333,107.125
E,6,0.375,107.75
C,4,1.0,108.25
E,6,0.5,109.75
G,6,0.875,113.875
G,4,0.25,116.5
E,4,3.375,117.0
F#,4,0.333333333333,122.0
C,5,1.5,123.0
E,2,1.625,126.0
G,4,0.375,127.625
A,2,0.125,130.625
E-,4,0.125,131.75
E,4,0.125,131.875
F,5,0.875,132.0
C,4,0.25,133.25
G,5,0.75,133.5
C,4,0.125,134.875
A,3,0.125,136.375
E,5,1.125,136.625
B,3,0.125,137.875
C#,3,0.25,143.5
D,2,0.125,144.625
G,5,1.0,145.5
F,5,0.25,149.625
