Note/Rest,Octave,Len,Offset
Rest,None,2.0,0.0
C,5,0.75,2.0
B,4,0.25,2.75
A,4,1.0,3.0
C,5,0.75,4.0
D,5,0.25,4.75
E,5,1.0,5.0
A,4,1.0,6.0
C,5,0.75,7.0
D,5,0.25,7.75
E,5,1.0,8.0
D,5,0.75,9.0
E,5,0.25,9.75
D,5,0.5,10.0
C,5,0.5,10.5
B,4,0.5,11.0
A,4,0.5,11.5
B,4,1.0,12.0
G,4,1.0,13.0
E,4,1.0,14.0
C,5,1.5,15.0
B,4,0.5,16.5
A,4,1.0,17.0
D,5,1.5,18.0
C,5,0.5,19.5
B,4,1.0,20.0
C,5,0.5,21.0
E,5,0.5,21.5
E,4,1.0,22.0
G,4,1.0,23.0
A,4,2.0,24.0
C,5,0.75,26.0
B,4,0.25,26.75
A,4,1.0,27.0
C,5,0.75,28.0
D,5,0.25,28.75
E,5,1.0,29.0
A,4,1.0,30.0
C,5,0.75,31.0
D,5,0.25,31.75
E,5,1.0,32.0
D,5,0.75,33.0
E,5,0.25,33.75
D,5,0.5,34.0
C,5,0.5,34.5
B,4,0.5,35.0
A,4,0.5,35.5
B,4,1.0,36.0
G,4,1.0,37.0
E,4,1.0,38.0
G,5,1.5,39.0
F,5,0.5,40.5
E,5,1.0,41.0
A,5,1.5,42.0
G,5,0.5,43.5
E,5,0.5,44.0
D,5,0.5,44.5
C,5,0.5,45.0
E,5,0.5,45.5
D,5,0.5,46.0
C,5,0.5,46.5
B,4,0.5,47.0
C,5,0.5,47.5
A,4,2.0,48.0
C,5,0.75,50.0
B,4,0.25,50.75
A,4,1.0,51.0
C,5,0.75,52.0
D,5,0.25,52.75
E,5,1.0,53.0
A,4,1.0,54.0
C,5,0.75,55.0
D,5,0.25,55.75
E,5,1.0,56.0
D,5,0.75,57.0
E,5,0.25,57.75
D,5,0.5,58.0
C,5,0.5,58.5
B,4,0.5,59.0
A,4,0.5,59.5
B,4,1.0,60.0
G,4,1.0,61.0
E,4,1.0,62.0
C,5,1.5,63.0
B,4,0.5,64.5
A,4,1.0,65.0
D,5,1.5,66.0
C,5,0.5,67.5
B,4,1.0,68.0
C,5,0.5,69.0
E,5,0.5,69.5
E,4,1.0,70.0
G,4,1.0,71.0
A,4,2.0,72.0
C,5,0.75,74.0
B,4,0.25,74.75
A,4,1.0,75.0
C,5,0.75,76.0
D,5,0.25,76.75
E,5,1.0,77.0
A,4,1.0,78.0
C,5,0.75,79.0
D,5,0.25,79.75
E,5,1.0,80.0
D,5,0.75,81.0
E,5,0.25,81.75
D,5,0.5,82.0
C,5,0.5,82.5
B,4,0.5,83.0
A,4,0.5,83.5
B,4,1.0,84.0
G,4,1.0,85.0
E,4,1.0,86.0
G,5,1.5,87.0
F,5,0.5,88.5
E,5,1.0,89.0
A,5,1.5,90.0
G,5,0.5,91.5
E,5,0.5,92.0
D,5,0.5,92.5
C,5,0.5,93.0
E,5,0.5,93.5
D,5,0.5,94.0
C,5,0.5,94.5
B,4,0.5,95.0
C,5,0.5,95.5
A,4,2.0,96.0
A,4,1.0,98.0
E,5,1.0,99.0
A,5,0.75,100.0
B,5,0.25,100.75
C,6,1.0,101.0
E,5,1.0,102.0
A,5,0.75,103.0
B,5,0.25,103.75
C,6,1.0,104.0
C,6,0.5,105.0
B,5,0.5,105.5
A,5,0.5,106.0
G,5,0.5,106.5
A,5,0.5,107.0
B,5,0.5,107.5
C,6,1.0,108.0
E,5,1.0,109.0
E,5,1.0,110.0
F,5,1.0,111.0
A,5,0.5,112.0
F,5,0.5,112.5
E,5,0.5,113.0
D,5,0.5,113.5
E,5,1.0,114.0
G,5,0.5,115.0
E,5,0.5,115.5
D,5,0.5,116.0
C,5,0.5,116.5
D,5,1.0,117.0
E,5,1.0,118.0
G#,5,1.0,119.0
A,5,2.0,120.0
Rest,None,1.0,122.0
A,5,0.5,123.0
G,5,0.5,123.5
E,5,0.5,124.0
G,5,0.5,124.5
A,5,1.0,125.0
G,5,0.5,126.0
E,5,0.5,126.5
D,5,0.5,127.0
E,5,0.5,127.5
G,5,1.0,128.0
E,5,0.5,129.0
D,5,0.5,129.5
C,5,0.5,130.0
D,5,0.5,130.5
E,5,0.5,131.0
C,5,0.5,131.5
D,5,1.0,132.0
B,4,1.0,133.0
G,4,1.0,134.0
C,5,1.5,135.0
B,4,0.5,136.5
A,4,1.0,137.0
D,5,1.5,138.0
C,5,0.5,139.5
B,4,1.0,140.0
C,5,0.5,141.0
E,5,0.5,141.5
E,4,1.0,142.0
G,4,1.0,143.0
A,4,2.0,144.0
A,4,1.0,146.0
E,5,1.0,147.0
A,5,0.75,148.0
B,5,0.25,148.75
C,6,1.0,149.0
E,5,1.0,150.0
A,5,0.75,151.0
B,5,0.25,151.75
C,6,1.0,152.0
C,6,0.5,153.0
B,5,0.5,153.5
A,5,0.5,154.0
G,5,0.5,154.5
A,5,0.5,155.0
B,5,0.5,155.5
C,6,1.0,156.0
E,5,1.0,157.0
E,5,1.0,158.0
F,5,1.0,159.0
A,5,0.5,160.0
F,5,0.5,160.5
E,5,0.5,161.0
D,5,0.5,161.5
E,5,1.0,162.0
G,5,0.5,163.0
E,5,0.5,163.5
D,5,0.5,164.0
C,5,0.5,164.5
D,5,1.0,165.0
E,5,1.0,166.0
G#,5,1.0,167.0
A,5,2.0,168.0
Rest,None,1.0,170.0
A,5,0.5,171.0
G,5,0.5,171.5
E,5,0.5,172.0
G,5,0.5,172.5
A,5,1.0,173.0
G,5,0.5,174.0
E,5,0.5,174.5
D,5,0.5,175.0
E,5,0.5,175.5
G,5,1.0,176.0
E,5,0.5,177.0
D,5,0.5,177.5
C,5,0.5,178.0
D,5,0.5,178.5
E,5,0.5,179.0
C,5,0.5,179.5
D,5,1.0,180.0
B,4,1.0,181.0
G,4,1.0,182.0
C,5,1.5,183.0
B,4,0.5,184.5
A,4,1.0,185.0
D,5,1.5,186.0
C,5,0.5,187.5
B,4,1.0,188.0
C,5,0.5,189.0
E,5,0.5,189.5
E,4,1.0,190.0
G,4,1.0,191.0
A,4,2.0,192.0
