176.0
4 / 4
Note/Rest,Octave,Len,Offset
B,3,0.5,12.625
A,5,0.25,15.0
F,4,3.125,16.0
G,4,0.666666666667,20.625
F,4,1.25,23.875
B-,5,1.25,25.5
B,3,2.25,28.625
B-,5,0.25,30.875
C,4,3.625,31.5
C,5,0.125,36.6666666667
F,5,0.5,36.875
F,5,0.25,37.625
G,5,0.375,37.875
G,5,0.25,38.5
A,5,0.333333333333,38.875
A,5,0.25,39.875
B-,5,1.375,40.125
C#,6,0.25,41.5
D,6,0.333333333333,45.625
C,6,0.125,46.0
D,6,0.25,46.25
F,5,0.125,46.6666666667
B-,5,0.375,47.0
C,6,0.75,48.0
F,5,0.5,49.0
C,5,0.25,49.6666666667
B-,4,0.666666666667,50.0
G#,4,0.125,50.6666666667
A,4,0.375,51.0
D,4,0.25,51.5
F,4,1.5,51.875
D,5,0.125,54.625
F,5,0.333333333333,55.0
A,5,1.875,55.875
D,5,0.625,57.875
F,5,0.125,58.625
A,5,0.375,58.875
A,5,0.625,60.0
F,5,0.125,60.6666666667
D,5,0.25,61.0
D,5,0.625,62.0
F,5,0.125,62.75
A,5,0.5,62.875
G,5,0.333333333333,63.625
A,5,0.25,64.0
E,5,0.125,64.375
C,5,0.25,64.625
B,4,0.625,64.875
G,4,0.125,65.625
B-,4,1.625,66.0
B,3,0.75,68.625
B-,3,1.25,69.875
C,4,1.0,73.625
E,3,1.625,76.0
A,5,0.25,77.625
E,5,0.125,81.25
E-,6,0.25,81.5
C#,6,0.333333333333,81.75
G#,5,0.25,82.125
E-,5,0.25,82.625
C#,5,0.125,82.875
C,5,0.125,83.125
B,4,0.25,83.25
B-,4,0.125,83.5
G,4,0.125,83.75
C,3,1.875,83.875
E-,5,0.5,86.875
D,4,3.75,87.5
C#,5,0.25,91.625
D,5,0.25,92.0
C,5,0.5,96.0
B-,4,0.375,97.0
A,4,0.25,98.0
F,4,0.25,98.25
C,4,0.25,98.625
B-,3,0.25,98.875
G,3,0.25,99.25
G#,3,0.25,99.5
A,3,0.75,99.875
E,3,0.0,100.625
F,3,2.0,100.625
G,4,0.333333333333,102.666666667
A,4,0.25,103.0
B-,4,0.5,104.0
D,5,2.875,105.625
D,5,0.25,109.625
C,5,1.5,110.0
